id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
126,"You're managing an agile UV alert app project with a servant leadership
style. Which traits will you exhibit? (Select three)",Listening,Coaching,Promoting self-awareness,Controlling,,,"1,2,3","Servant leaders prioritize listening, coaching, and self-awareness to
empower teams.",,,,,,1500_questions.txt
127,"A PM oversees a small project with 12 stakeholders. How many
communication lines exist?",66,72,12,24,,1,,"Using n(n-1)/2, where n=12: 12\*11/2 = 66.",,,,,,1500_questions.txt
128,"John, the sponsor, works with you on quality and risk. What's true about
his role?",He delegates all decisions in a functional setup,He assigns team tasks,He secures resources for the PM,He co-manages the project,,3,,The sponsor ensures resource availability.,,,,,,1500_questions.txt
129,What's the total float of activity E in the table provided?,0,2,6,1,,1,,"Total float is the delay possible without affecting the project end,
calculated as zero here via forward/backward pass.",,,,,,1500_questions.txt
130,A milestone reads \'Finish GUI: 30 Days.\' What's wrong with it?,It misunderstands milestones,Two PMs can't share a project,GUI can't be in a milestone,Work packages shouldn't be split,,1,,"Milestones mark instants, not durations like 30 days.",,,,,,1500_questions.txt
131,"David demos an MVP, but the client finds it unclear. What should the
product owner do?",Discuss feedback with David,Text David the feedback,Forward the client's email,Issue a formal reprimand,,1,,Direct discussion enhances improvement over less personal methods.,,,,,,1500_questions.txt
132,"For an IT project, you identify external stakeholders needing unique
communication. What document do you update next?",Communication reports,Stakeholder register,Communication method,ROI of stakeholder engagement,,2,,The register captures stakeholder details first.,,,,,,1500_questions.txt
133,"Your virtual team opts for a centralized web service for docs and tasks.
What tech solution is this?",Task creation and tracking tools,A unified content-sharing space,Synchronous communication tools,Asynchronous communication tools,,2,,This describes a shared repository for all content types.,,,,,,1500_questions.txt
134,"Which methodology uses iterative agile, a single-team focus, and
retrospectives? (Select two)",Kanban,Sprint retrospective,Scrum,Sprint review,,,"2,3","Scrum is the methodology; sprint retrospectives are its review
technique.",,,,,,1500_questions.txt
135,"A new PM meets the sponsor to review scope and deliverables. How should
they prepare?",Study the schedule forecast,Analyze the Gantt chart,Interview team members,Review the project charter,,4,,The charter provides scope and deliverable context.,,,,,,1500_questions.txt
136,What are typical project outcomes?,"Products, services, improvements","Products, programs, services","Improvements, portfolios, services","Improvements, processes, products",,1,,These are standard project results.,,,,,,1500_questions.txt
137,"Jessica, Bonsai Kitten's BA, favors efficient team communication. What's
her best approach?","Minimal, just-in-time doc updates",Daily 15-minute phone standups,Regular face-to-face talks,Using a top collaboration tool,,3,,Face-to-face offers unmatched efficiency.,,,,,,1500_questions.txt
138,"A team member suggests a tech update for better performance. What's
their first step?",Add it to the WBS,Consult the PM,Log it as an issue,File a change request,,2,,PM consultation ensures proper process.,,,,,,1500_questions.txt
139,"A vendor's critical path activities are delayed. What's true about the
critical path?",It has the least lag,It includes critical activities,It has zero float,It has the most activities,,3,,Zero float defines the critical path.,,,,,,1500_questions.txt
140,"Eleanor's scrum team assigns sprint backlog tasks. Which statement is
false?",Tasks are permanently assigned,The team owns the backlog,Anyone can take a task,Features break into tasks,,1,,Tasks aren't fixed; team members choose freely.,,,,,,1500_questions.txt
141,"Jean, scrum master for Project G (9 iterations, 93 points), has a
successful global team. What's next?",Maintain status quo,Add more global members,Ask the team for improvement ideas,Seek product owner input,,3,,Team feedback drives continuous improvement.,,,,,,1500_questions.txt
142,Organizational procedures determine when project planning:,Ends,Begins,Delays,Deviates,,1,,Procedures set the planning endpoint.,,,,,,1500_questions.txt
143,"Kaylee refines a health app backlog post-regulation change. What's
backlog refinement?",Sprint work items,Ordered user requirements,Progressive requirement elaboration,A backlog management board,,3,,It's the ongoing elaboration of customer needs.,,,,,,1500_questions.txt
144,Who leads by coaching and empowering team skills?,Servant leader,Situational leader,Facilitator,Coach,,1,,Servant leaders focus on team growth.,,,,,,1500_questions.txt
145,"For a risky project, you suggest a feasibility study. What's your move?",Propose it as a separate project,Prep the charter with historical data,Pass data to the sponsor,Use EVM for cost optimization,,1,,A separate study mitigates high risk.,,,,,,1500_questions.txt
146,"What type are functional, matrix, and project-oriented setups?",Organizational structures,Communication styles,Organizational cultures,Project traits,,1,,These define organizational frameworks.,,,,,,1500_questions.txt
147,"Karen assesses sanctions' impact on her bank's compliance. How's
compliance managed?",Compliance audit,Compliance council,Compliance risk,Compliance documentation,,3,,This evaluates noncompliance risks.,,,,,,1500_questions.txt
148,"A software project closes, but the support team finds defects. What's
next?",Shift fixes to a new project,Log defects as support tickets,Update the quality plan,Add defects to lessons learned,,3,,Updating the quality plan addresses post-delivery issues.,,,,,,1500_questions.txt
149,Which dependency is mandatory due to legal or inherent factors?,Mandatory,Discretionary,Internal,External,,1,,Mandatory dependencies are non-negotiable.,,,,,,1500_questions.txt
150,A coder disputes a nonconformance claim. What should the PM do?,Await the next test,Convene both parties to resolve,Task the finder with a fix,Log it for retrospective,,2,,Immediate discussion resolves disputes efficiently.,,,,,,1500_questions.txt
151,What process prioritizes risks for further analysis?,Plan Risk Management,Plan Risk Responses,Perform Qualitative Risk Analysis,Perform Quantitative Risk Analysis,,3,,This ranks risks by probability and impact.,,,,,,1500_questions.txt
152,"Your project's cost estimate is \$535,000 for staff and \$137,000 for
vendors. Select two true statements.",You've quantified organizational costs,Price is the only vendor selection criterion,Vendor cost is a buyer's pricing decision,The SOW can come from buyer or seller,,,"1,2",Costs are quantified; price isn't the sole vendor factor.,,,,,,1500_questions.txt
153,What's a top-down graphic of roles and relationships?,RACI chart,Matrix-based chart,Human resource chart,Hierarchical chart,,4,,This depicts organizational structure hierarchically.,,,,,,1500_questions.txt
154,Why do agile methods favor incremental development?,Humans err often,Humans enjoy repetition,It simplifies work,It's faster than standard methods,,1,,Incremental allows for error correction.,,,,,,1500_questions.txt
155,"For a plumbing project, why must building codes be in plans?",They're quality management inputs,Audits ensure compliance,They're a quality cost,Compliance is quality control's goal,,1,,Codes are enterprise factors in quality planning.,,,,,,1500_questions.txt
156,"Jasmine's Project DSG faces vacation overlaps near a milestone. What's
her next step?",Escalate to the steering committee,Assess the project impact,Fast-track affected tasks,Cancel vacations,,2,,Impact assessment guides subsequent actions.,,,,,,1500_questions.txt
